area,count,avg_price,min_price,max_price
,241545,29.169828727566294,0.0,221.0
冀,12284,4.688397915988277,0.56,25.5
鲁,6536,8.556679926560587,1.3,26.0
全国平均,4632,11.385431778929188,0.98,76.87
国产,4030,48.22258064516129,7.0,99.0
鲁冀,2691,6.679836492010405,1.6,26.0
云,2181,8.347207702888582,1.6,29.0
冀鲁,2169,4.029986168741355,0.7,12.5
冀辽,1685,5.240308605341246,0.96,14.0
网,1677,25.262075134168157,15.0,37.0
吊,1677,31.42128801431127,19.0,43.0
冀蒙,1452,4.428402203856749,0.96,19.0
鲁辽,1155,5.821800865800866,2.5,14.0
辽鲁,1126,8.502575488454706,2.0,20.0
辽冀,995,6.911417085427136,1.5,19.0
冀京,942,4.585732484076433,1.4,13.0
冀闽,910,12.25989010989011,3.2,16.0
皖,897,7.283500557413601,4.0,15.8
蒙,853,3.1561547479484173,0.76,10.6
鲁云,832,9.422596153846154,2.5,25.0
辽,832,5.3950721153846155,1.9,12.5
豫冀,777,12.626898326898328,1.0,15.0
豫苏鲁,773,11.087399741267788,5.9,13.0
豫鲁,742,7.379514824797845,2.0,9.5
京,734,4.393869209809264,1.4,10.5
新疆,719,9.917663421418638,7.9,12.0
鲁冀辽,713,5.114586255259467,2.2,14.0
冀豫京,662,7.197280966767372,5.2,9.5
苏豫津,662,6.148942598187311,4.8,8.5
辽鲁京,652,5.066257668711656,2.3,8.3
甘蒙,588,2.46765306122449,1.5,3.9
粤,528,5.911553030303031,2.8,12.8
冀粤,517,5.394584139264991,3.0,8.0
云鲁,516,8.953178294573643,4.0,17.2
鲁辽冀,499,5.344288577154309,1.9,15.0
豫,424,3.8666981132075473,0.8,15.2
冀豫,413,3.352687651331719,0.6,7.0
鲁豫,405,2.7498271604938274,1.36,11.0
冀辽鲁,401,5.774463840399003,2.7,11.5
泰国,365,29.667397260273972,8.5,113.0
冀鲁云,346,4.416763005780347,2.4,9.8
闽,309,5.622330097087379,1.7,13.8
美国,309,46.33236245954693,16.0,195.0
琼,304,5.1996710526315795,2.0,13.5
蒙新,299,3.24314381270903,2.2,6.2
云京,285,4.310175438596492,2.4,7.0
冀云,269,6.03457249070632,1.3,11.5
甘,268,6.420074626865671,1.7,12.5
冀蒙陕,265,2.191924528301887,1.96,3.0
云粤,250,12.8636,4.6,29.0
津,249,6.5120481927710845,4.3,14.5
苏,246,9.109349593495935,1.3,12.0
越南,243,21.87119341563786,7.5,93.0
桂,243,2.248395061728395,1.0,4.2
蒙鲁,228,6.300877192982456,4.0,10.0
冀津鲁,226,1.7469026548672566,0.9,3.0
鲁皖,223,7.686098654708521,5.0,11.5
新西兰,221,42.61176470588236,11.7,106.0
鄂川,220,2.449818181818182,0.8,10.5
闽云,220,5.710909090909091,4.2,12.8
辽宁,218,5.437155963302752,5.0,6.5
冀粤琼,217,2.9,2.4,3.8
海,206,9.86359223300971,4.2,17.8
冀辽鲁蒙,194,3.3350515463917527,2.4,5.3
蒙冀,190,2.154315789473684,1.7,3.8
澳洲,187,34.10855614973262,17.0,78.0
云冀,173,4.47514450867052,1.8,6.3
云豫,172,5.427906976744186,1.5,8.0
冀晋,171,4.902222222222222,0.76,11.0
南非,168,13.591666666666667,7.3,24.5
京蒙,165,7.758181818181818,3.0,12.0
京冀,165,4.36060606060606,2.5,6.5
冀辽晋,163,4.198773006134969,1.8,8.5
鲁粤,161,7.737888198757764,3.8,14.2
鲁闽,161,2.7120496894409936,1.5,13.5
秘鲁,158,42.62430379746836,14.5,132.0
冀鲁豫,157,3.7729936305732483,0.8,8.0
云闽,156,4.221282051282051,1.6,10.3
冀苏,152,2.718421052631579,0.7,4.8
冀新,152,2.3951315789473684,1.76,2.9
冀豫津,148,1.854054054054054,1.1,2.6
冀蒙辽,144,7.135416666666667,1.8,15.0
鲁蒙,143,5.893006993006994,2.5,8.7
冀晋云,141,8.067375886524824,5.5,11.0
琼桂,139,3.439568345323741,1.4,7.6
鄂川云,136,2.7852941176470587,1.6,7.0
辽晋,131,4.79618320610687,2.4,7.2
鲁辽云,131,4.840458015267176,3.5,8.0
冀鄂,131,1.1378625954198474,0.8,1.9
冀鲁宁,131,2.478625954198473,1.9,2.7
粤闽,130,8.514615384615386,6.3,14.3
晋冀,129,8.271317829457365,4.5,16.0
鄂津,127,5.575590551181103,5.0,7.0
海粤云,126,5.472222222222222,3.9,6.9
苏津,126,7.48015873015873,5.2,11.0
琼粤,125,8.3264,3.8,13.8
粤桂琼,124,4.262903225806451,2.8,6.2
冀鲁川,123,4.7560975609756095,3.7,8.0
冀辽蒙,121,3.7601652892561983,1.3,11.5
冀津,118,2.0008474576271187,0.9,6.0
冀鄂鲁,115,1.7653913043478262,0.6,3.6
新,114,1.8571929824561404,1.1,2.16
冀陕,114,2.5812280701754386,1.2,4.5
冀云川,109,4.037614678899083,2.4,6.2
辽冀蒙津,105,4.943809523809524,2.4,10.2
云桂,105,3.7600000000000002,2.9,4.6
智利,104,36.48653846153846,18.0,145.0
鲁冀豫,104,4.141346153846154,2.3,8.0
豫苏,104,4.793846153846154,1.1,13.5
云琼,103,13.362135922330097,9.8,19.0
鲁津,102,3.2068627450980394,2.3,5.2
冀甘蒙,99,2.0072727272727273,1.5,3.0
冀鲁鄂,98,1.460612244897959,0.96,3.7
冀宁,98,4.2418367346938775,1.9,10.0
琼云,96,9.269791666666666,4.5,18.5
粤桂,95,5.031157894736842,2.3,12.5
鄂冀,92,1.3545652173913043,0.76,2.2
云粤桂,92,4.576086956521739,3.3,9.5
辽冀鲁云,90,3.5897777777777775,2.6,5.8
鲁琼,90,8.598888888888888,5.5,12.0
津冀,89,2.0842696629213484,1.4,2.5
苏鄂浙,88,4.514772727272727,3.5,5.4
湘鄂,85,1.5167058823529411,1.3,1.8
蒙琼桂,84,4.730952380952381,3.2,6.8
闽皖桂,83,3.971084337349398,3.1,5.9
青,83,9.53132530120482,8.5,10.8
豫鲁冀,83,5.968674698795181,4.0,9.5
云甘,82,3.258048780487805,2.5,3.9
豫鄂,81,2.354320987654321,1.5,3.8
鲁粤闽辽,80,8.0825,6.0,9.5
粤闽辽鲁,80,5.116,3.5,6.5
鲁云闽,80,11.3375,8.5,13.5
鲁辽闽,80,8.80625,6.5,13.0
鲁辽粤闽,80,4.949,3.5,6.0
冀琼,79,4.184810126582278,2.5,7.6
鲁皖川,79,3.3886075949367087,2.2,4.8
津豫,78,2.862820512820513,2.5,3.8
鲁蒙晋,77,6.88051948051948,3.4,12.0
桂川鄂,76,2.3276315789473685,1.6,3.0
陕蒙,76,2.1915789473684213,2.06,2.2
辽冀京,75,4.548,3.8,8.3
京云,74,6.468918918918919,3.9,9.0
鲁苏,74,2.2,1.5,3.5
豫冀鲁,72,7.123611111111111,5.5,10.0
鲁京,70,2.1785714285714284,1.4,3.8
菲律宾,70,12.280000000000001,7.8,22.0
云海,70,11.607142857142858,7.0,20.5
冀辽吉,69,6.4971014492753625,2.5,15.0
冀鲁豫鄂,69,0.9315942028985508,0.7,1.8
辽鲁冀蒙,68,2.711764705882353,1.3,5.5
皖川京鲁,68,2.3126470588235293,2.0,4.0
苏闽,67,2.1388059701492534,1.3,4.6
冀蒙甘,66,5.331818181818181,2.8,8.1
粤冀,65,5.935384615384615,3.3,8.7
粤云,65,7.746153846153846,5.7,11.6
川豫,63,6.204761904761904,5.6,7.8
陕云鲁,62,3.987096774193548,3.2,5.0
冀辽鲁粤,62,6.20483870967742,4.6,8.5
蒙冀鲁,61,3.9508196721311477,2.2,6.9
桂琼冀,57,2.245614035087719,1.8,2.7
冀桂蒙,57,2.787719298245614,2.6,3.1
云鄂,57,5.040350877192982,1.5,7.6
冀蒙晋,57,1.9947368421052631,1.7,2.4
川,57,2.4319298245614034,1.2,10.5
粤琼,55,5.2709090909090905,4.2,13.2
蒙琼,55,4.650909090909091,4.2,5.0
粤豫桂冀,54,9.083333333333334,6.5,9.5
海粤,53,7.5754716981132075,3.8,12.8
皖鲁,53,4.769811320754717,4.3,5.4
桂川,53,11.70566037735849,9.5,17.0
冀苏川皖,53,8.322641509433963,7.5,9.5
鄂浙,52,4.242307692307692,3.4,5.9
川苏冀,52,8.011538461538462,4.8,9.5
冀苏川,52,5.583076923076923,5.0,6.0
苏豫,49,7.043265306122449,4.6,9.5
桂冀,49,2.7510204081632654,1.7,3.4
沪闽,48,2.28125,1.6,3.1
豫闽,47,9.44,2.3,15.2
新桂,47,1.658723404255319,1.6,1.9
桂粤闽琼,46,2.3860869565217393,2.2,2.6
云桂鲁,45,2.849777777777778,2.1,3.6
蒙甘,45,1.9382222222222223,1.8,2.06
琼鲁,45,7.855555555555555,1.9,14.5
比利时,45,24.511111111111113,21.0,26.0
冀云鄂琼,45,3.5622222222222226,3.1,3.8
蒙新琼,44,5.3113636363636365,5.1,5.4
云冀鲁,43,3.604651162790698,2.8,5.0
湘鄂川,41,1.437560975609756,1.4,1.5
川皖鄂,40,8.1625,7.5,9.0
川鲁,40,7.034999999999999,3.5,8.5
鲁津冀,39,2.58974358974359,1.9,3.6
津京,39,2.717948717948718,2.0,3.8
冀鲁蒙,38,2.2263157894736842,2.0,2.8
云苏陕,38,4.468421052631579,3.4,6.7
浙闽云,38,3.039473684210526,2.3,4.0
冀鲁蒙豫,37,1.8945945945945943,1.5,2.5
桂粤闽豫,37,2.4016216216216217,2.2,2.7
冀云鄂,37,3.5189189189189185,3.2,3.6
鄂冀鲁,37,1.790810810810811,1.04,2.76
冀辽津,36,4.2555555555555555,3.4,5.7
冀新苏,36,1.788888888888889,1.7,1.9
苏冀,36,2.8666666666666667,1.7,7.5
津鲁冀,36,1.8333333333333333,1.4,2.9
川鄂,35,1.6845714285714286,1.1,3.0
京鲁,35,2.0954285714285716,1.36,3.5
海鲁,35,12.008571428571429,9.0,15.5
云浙,35,5.991428571428571,5.5,6.4
湘桂,34,2.338235294117647,1.7,2.8
鲁冀晋,34,4.785294117647059,1.7,8.5
豫鲁辽,34,6.070588235294117,5.8,6.3
海云粤,34,8.770588235294117,7.5,10.5
冀甘,34,5.423529411764706,2.3,8.5
粤桂琼鲁,33,4.812121212121212,4.2,5.3
云鲁冀,33,8.506060606060606,7.0,11.5
津冀京,33,2.793939393939394,1.6,3.3
鄂冀川,33,1.4721212121212122,1.06,2.6
陕云鄂闽,32,6.440625,4.8,8.0
印尼,31,35.9741935483871,20.6,53.0
云苏鄂,31,3.0903225806451613,3.0,3.1
苏鄂,31,4.532258064516129,3.8,5.3
海云,30,4.36,4.2,4.8
苏鲁冀,30,3.0233333333333334,2.6,3.5
苏鲁,30,4.0,1.6,5.2
云豫苏,30,1.6,1.36,1.8
鄂,30,2.8926666666666665,0.8,7.5
鲁浙皖云,29,2.4655172413793105,2.3,2.6
云浙苏陕豫,29,6.182758620689656,5.5,7.0
冀桂,29,2.2103448275862068,1.3,2.6
辽冀甘云,28,7.257142857142857,6.0,9.0
新粤,28,4.192857142857143,3.7,4.5
豫粤冀,28,7.521428571428571,6.8,8.3
新琼,28,2.4792857142857145,1.46,5.4
沪豫,28,3.3035714285714284,2.7,4.6
云辽,28,7.675,7.0,8.0
川冀,27,1.4659259259259259,1.1,2.0
桂粤琼,27,2.218518518518519,2.2,2.3
新桂琼,27,1.6259259259259258,1.6,1.7
宁冀陕,27,3.2629629629629626,3.1,3.7
闽云海,26,11.496153846153845,10.5,13.5
冀辽甘晋,26,8.111538461538462,7.0,10.5
冀鲁云豫,26,3.8153846153846156,3.2,4.4
冀鲁云川,26,2.8999999999999995,2.8,3.4
京津,26,2.723076923076923,2.3,3.0
苏川,26,5.342307692307693,4.8,6.1
宁,26,2.8307692307692305,2.5,2.9
苏豫皖,26,8.361538461538462,7.8,9.5
冀鲁皖,26,2.6576923076923076,2.3,3.0
甘黑云,25,2.156,2.0,2.3
津苏,25,5.108,4.5,5.3
豫苏皖鲁,24,1.4349999999999998,1.4,1.5
冀皖,24,1.9833333333333334,1.8,2.2
冀辽甘,24,9.450000000000001,8.5,10.0
鲁苏京,24,2.2,2.2,2.2
皖闽浙云,24,3.6458333333333335,3.5,3.8
桂云,24,3.73,3.36,3.8
苏琼,23,13.178260869565218,11.5,14.0
京冀辽,23,4.173913043478261,3.6,4.6
云辽冀,23,9.373913043478261,7.3,11.5
鄂琼冀,23,2.869565217391304,2.8,2.9
苏冀徽,23,7.352173913043478,7.1,7.5
豫鄂云,23,4.539130434782609,4.0,5.1
浙云闽,22,4.577272727272727,3.8,5.3
冀鲁晋,22,2.727272727272727,2.3,3.1
闽京云,22,6.090909090909091,5.5,8.0
豫云,22,5.136363636363637,3.8,7.5
蒙甘云,22,2.0500000000000003,2.0,2.1
云川津,22,3.040909090909091,2.4,4.0
甘冀,22,5.3999999999999995,3.5,6.5
黑冀京,21,4.890476190476191,3.3,7.7
皖桂,21,5.1000000000000005,4.2,5.9
豫苏皖,21,5.723809523809524,1.5,9.5
辽豫桂,21,1.9276190476190476,1.7,2.3
晋辽,21,16.047619047619047,8.0,25.0
川云,20,5.2700000000000005,4.9,6.1
桂云闽,20,3.37,3.0,3.8
川苏,20,4.536,4.3,5.2
冀辽云晋,20,7.575,7.0,9.5
云苏陕豫,20,6.55,4.8,7.7
皖鲁浙闽,20,3.125,2.1,5.3
津鲁,20,1.7449999999999999,1.4,2.1
皖云浙闽,20,2.3600000000000003,2.2,2.5
冀云辽,20,6.04,5.2,6.9
粤豫桂,19,8.710526315789474,8.0,9.3
冀豫鲁,19,2.4157894736842103,2.2,2.7
冀辽云,19,4.231578947368422,2.8,9.0
冀蒙鲁,19,5.252631578947368,3.7,6.4
云闽浙,19,5.873684210526315,5.2,6.2
辽冀甘,19,8.273684210526316,6.0,10.2
冀京鲁,19,3.547368421052632,3.1,4.4
云冀辽,19,4.663157894736842,3.3,5.7
蒙冀鲁川,19,5.542105263157895,4.1,6.3
京辽鲁,18,2.111111111111111,1.6,2.6
甘黑,18,2.2777777777777777,2.0,2.5
粤鲁,18,9.93888888888889,9.0,13.1
冀黑吉,18,1.822222222222222,1.5,2.6
川桂,17,12.0,10.0,13.5
蒙冀鲁豫,17,2.3035294117647056,2.2,2.5
云川闽,17,6.588235294117647,6.3,7.5
浙闽,17,3.3176470588235296,3.0,3.7
沪鲁,16,1.75,1.7,1.9
云粤琼,16,4.6625,3.6,5.2
苏皖鲁京,16,1.5625,1.4,1.8
桂海,15,4.306666666666667,4.2,4.5
闽京,15,5.92,5.5,6.4
冀川,15,0.988,0.9,1.1
粤桂云鲁,15,4.526666666666667,4.4,4.9
沪,15,2.433333333333333,1.6,3.2
海鲁桂云冀,15,10.020000000000001,9.3,11.0
桂鲁,15,2.001333333333333,1.66,2.6
冀云鲁,15,6.253333333333333,3.8,8.5
冀云鄂新,14,3.7357142857142853,3.6,3.8
闽桂粤,14,6.0928571428571425,5.9,6.2
鲁桂云冀,14,8.114285714285714,6.3,10.0
陕云豫鲁,14,3.814285714285714,3.5,4.4
辽黑,14,11.5,11.0,14.0
冀蒙豫,14,2.394285714285714,2.3,2.46
苏冀鲁,14,1.8571428571428572,1.6,2.3
冀鲁辽,14,4.771428571428571,3.5,6.2
豫苏冀,14,7.328571428571428,6.5,7.5
云津,14,3.1785714285714284,2.3,3.8
浙,13,4.415384615384616,4.4,4.5
冀琼新,13,3.3999999999999995,3.4,3.4
皖云,13,5.950769230769231,5.3,7.76
冀川云,13,5.123076923076923,5.0,5.2
辽冀蒙,13,4.046153846153846,2.1,5.6
冀京鲁云,13,3.376923076923077,3.3,3.5
辽云,13,3.9692307692307693,2.8,8.5
皖鲁浙,13,3.315384615384615,3.3,3.5
粤琼云,13,9.946153846153846,7.8,13.1
徽京鲁,12,2.5,2.5,2.5
闽桂,12,4.958333333333333,3.1,7.5
埃及,12,9.924999999999999,8.5,11.3
辽冀鲁,12,4.483333333333333,2.6,6.0
陕云豫,12,5.508333333333333,4.6,5.8
冀鲁冀蒙,12,2.9166666666666665,2.5,3.5
鲁川,12,4.6499999999999995,4.2,5.3
云浙苏陕,11,5.236363636363636,4.6,6.4
桂川津,11,15.636363636363637,14.0,17.0
豫苏冀鲁,11,7.1,6.0,7.5
蒙晋,10,8.459999999999999,3.8,11.3
浙云,10,4.5,4.5,4.5
云川苏,10,16.95,13.5,20.0
甘黑云豫,10,2.09,1.8,2.3
云冀京,10,3.54,3.2,3.9
鄂鲁,10,2.066,1.5,2.36
冀陕云,10,2.93,2.5,3.2
蒙甘豫,10,1.8399999999999999,1.6,2.0
鄂冀苏,10,1.7120000000000002,1.5,1.9
黑云,10,8.08,6.3,9.0
冀陕云豫鲁,10,4.2,3.9,4.4
冀陕蒙,10,2.2,2.2,2.2
冀 蒙,9,2.6444444444444444,2.3,2.8
冀云闽,9,7.8999999999999995,6.8,9.0
冀京辽鲁,9,2.3777777777777778,2.0,3.0
鲁云冀,9,4.544444444444444,4.1,5.0
冀粤苏,9,10.855555555555556,9.8,11.5
云闽苏川,9,4.111111111111111,3.9,4.3
沪鲁豫,9,2.844444444444444,2.8,2.9
京鲁皖,9,1.7000000000000002,1.6,1.9
冀豫鄂,9,3.7333333333333334,3.4,4.0
豫粤,9,5.555555555555555,4.5,6.9
桂冀辽,8,1.825,1.7,1.9
以色列,8,16.9375,16.0,17.5
粤云桂,8,3.9749999999999996,3.5,4.6
冀粤川,8,10.2875,9.8,11.0
粤琼云闽,8,8.5375,8.2,8.8
蒙新桂,8,5.3,5.3,5.3
鄂云,8,6.7375,6.5,6.8
鲁陕冀,8,4.05,3.6,4.8
冀晋蒙鲁,8,3.225,3.0,3.4
冀云晋,8,8.4125,6.5,10.5
鲁晋,8,2.7125,2.4,3.4
鄂皖桂,8,4.0375,3.9,4.2
豫桂,7,2.3,2.3,2.3
辽冀津,7,2.557142857142857,2.5,2.6
鲁冀晋云,7,5.914285714285714,5.5,6.8
津川桂,7,11.200000000000001,9.8,14.0
云豫鲁,7,2.2142857142857144,1.5,2.9
豫冀苏,7,7.385714285714286,6.5,7.8
冀云闽桂,7,7.714285714285714,7.0,9.0
摩洛哥,6,19.833333333333332,19.0,22.0
闽皖,6,3.5666666666666664,3.4,4.2
冀京津,6,2.9499999999999997,2.9,3.0
辽甘,6,2.033333333333333,1.9,2.06
苏陕豫,6,5.916666666666667,5.5,6.5
新琼桂,6,1.5533333333333335,1.46,1.6
苏陕,6,3.35,3.2,3.5
云苏,6,5.066666666666666,4.6,5.4
云浙苏,6,6.916666666666667,6.4,7.5
鲁冀津,6,2.433333333333333,2.4,2.6
云冀闽,6,4.316666666666666,4.0,5.0
川皖,5,5.720000000000001,5.5,6.0
希腊,5,23.8,23.0,27.0
徽川京鲁,5,2.5,2.5,2.5
云闽浙苏,5,7.159999999999999,6.5,7.6
辽鲁闽,5,10.879999999999999,10.2,11.2
云琼鲁冀,5,9.26,9.0,9.8
云海冀,5,3.9799999999999995,3.6,4.3
云粤鲁,5,11.879999999999999,10.6,12.8
云闽鲁,5,12.440000000000001,11.5,13.1
云闽苏,5,4.359999999999999,4.0,4.8
云鲁闽,5,16.64,13.7,18.6
浙闽皖津,5,3.22,3.0,3.4
冀云新,5,3.4,3.4,3.4
陕鲁云豫,5,4.4399999999999995,4.3,4.6
陕鲁冀,5,3.7,3.5,4.2
云津冀,4,2.05,1.8,2.2
云甘蒙,4,2.8,2.8,2.8
皖苏豫鲁,4,1.43,1.4,1.46
鲁苏皖,4,1.9,1.9,1.9
鲁冀蒙,4,3.0,2.2,3.8
徽京辽鲁,4,2.225,1.9,2.5
晋鲁云,4,3.425,3.2,3.5
云闽粤,4,6.575,6.5,6.8
苏豫鄂,4,3.5,3.5,3.5
晋鲁,4,3.625,3.5,3.8
冀鄂豫,4,3.45,3.4,3.5
鄂皖,4,3.8499999999999996,3.8,4.0
豫冀川,4,9.325,9.0,9.5
冀鲁甘,4,8.25,8.0,8.8
黑云鄂冀,3,7.666666666666667,7.5,8.0
浙云冀,3,2.766666666666667,2.7,2.9
海桂,3,2.7000000000000006,2.7,2.7
印泥,3,47.0,46.0,49.0
鲁冀京,3,2.9,2.8,3.0
鲁冀川,3,4.733333333333333,4.7,4.8
冀云鄂赣,3,3.2000000000000006,3.2,3.2
蒙豫,3,1.1333333333333335,1.1,1.2
鲁蒙冀,3,1.8666666666666665,1.8,1.9
云闽桂,2,4.7,4.2,5.2
云豫陕鄂,2,4.3,4.3,4.3
皖鲁京,2,1.4,1.4,1.4
云冀鄂川,2,3.4,3.4,3.4
鲁冀桂,2,3.3,3.3,3.3
津川,2,11.55,9.3,13.8
粤云川皖,2,6.0,6.0,6.0
桂粤闽,2,2.3,2.3,2.3
加拿大,2,133.0,133.0,133.0
冀京辽,2,2.4,2.3,2.5
闽云桂,2,8.3,8.3,8.3
冀闽皖,2,3.9000000000000004,3.6,4.2
冀鲁新,2,2.9,2.9,2.9
鲁苏陕冀,2,4.9,4.8,5.0
鲁辽冀云,2,4.550000000000001,4.4,4.7
鲁苏陕豫,2,4.9,4.5,5.3
鲁冀云,2,6.5,6.5,6.5
云冀鄂,2,3.2,3.2,3.2
蒙辽冀,2,2.1,2.1,2.1
冀津京,2,3.8,3.8,3.8
苏皖鲁,2,1.4,1.4,1.4
冀豫桂,2,8.8,8.8,8.8
川苏鲁冀,2,4.3,4.3,4.3
广西,2,68.0,68.0,68.0
辽京,2,3.8,3.8,3.8
川苏云,2,8.0,8.0,8.0
浙皖津,1,2.9,2.9,2.9
津鄂,1,6.7,6.7,6.7
浙闽津,1,3.4,3.4,3.4
鲁冀浙,1,3.2,3.2,3.2
琼辽,1,11.0,11.0,11.0
琼粤豫桂,1,10.3,10.3,10.3
皖浙闽云,1,2.2,2.2,2.2
皖苏京鲁,1,2.0,2.0,2.0
川冀云豫,1,6.0,6.0,6.0
川冀云,1,8.0,8.0,8.0
蒙桂,1,4.2,4.2,4.2
冀粤桂,1,10.5,10.5,10.5
苏云,1,4.7,4.7,4.7
桂新,1,6.2,6.2,6.2
云闽冀,1,2.7,2.7,2.7
苏沪,1,5.8,5.8,5.8
